rnbqkbnr/pppppppp/8/8/8/8/PPPPPPPP/RNBQKBNR w;g1f3
rnbqk2r/ppp1bppp/4pn2/3p4/2P5/2N1PN1P/PP1P1PP1/R1BQKB1R b;c7c5
rnbqk2r/ppp1bppp/4pn2/3p4/2P5/3BPN1P/PP1P1PP1/RNBQK2R b;c7c6
rnbqk2r/ppp1bppp/4pn2/3p4/2P5/4PN1P/PP1PBPP1/RNBQK2R b;d5c4
rnbqk2r/ppp1bppp/4pn2/3p4/2PP4/4PN1P/PP3PP1/RNBQKB1R b;c7c6
rnbqk2r/ppp1bppp/4pn2/3P4/8/4PN1P/PP1P1PP1/RNBQKB1R b;e6d5
rnbqk2r/ppp1bppp/4pn2/3p4/2P5/1P2PN1P/P2P1PP1/RNBQKB1R b;c7c5
rnbqk2r/ppp1bppp/4pn2/3p4/2P5/N3PN1P/PP1P1PP1/R1BQKB1R b;c7c6
rnbqk2r/ppp1bppp/4pn2/3p4/2P5/4PN1P/PPQP1PP1/RNB1KB1R b;c7c5
rnbqk2r/ppp1bppp/4pn2/3p4/2P5/P3PN1P/1P1P1PP1/RNBQKB1R b;e8g8
rnbqk2r/ppp1bppp/4pn2/3p4/2P5/1Q2PN1P/PP1P1PP1/RNB1KB1R b;e8g8
rnbqkb1r/ppp2ppp/4p3/3p4/2P1n3/4PN1P/PP1P1PP1/RNBQKB1R w;d2d3
rnbqkb1r/ppp2ppp/4p3/3p4/2P1n3/3PPN1P/PP3PP1/RNBQKB1R b;f8b4
rnbqkb1r/ppp2ppp/4p3/3p4/2P1n3/2N1PN1P/PP1P1PP1/R1BQKB1R b;c7c6
rnbqkb1r/ppp2ppp/4p3/3p4/2P1n3/4PN1P/PPQP1PP1/RNB1KB1R b;c7c6
rnbqkb1r/ppp2ppp/4p3/3P4/4n3/4PN1P/PP1P1PP1/RNBQKB1R b;e6d5
rnbqkb1r/ppp2ppp/4p3/3p4/2P1n3/4PN1P/PP1PBPP1/RNBQK2R b;f8d6
rnbqkb1r/ppp2ppp/4p3/3p4/2PPn3/4PN1P/PP3PP1/RNBQKB1R b;f8e7
rnbqkb1r/ppp2ppp/4p3/3p4/2P1n3/P3PN1P/1P1P1PP1/RNBQKB1R b;f8d6
